token,age,sex_name,onbo_complete,install_type,monthly_avg_access_days,weekly_avg_access_days,weight_records,sleep_records,food_records,menstruation_records
339a4bcc0102eee773c72d19d8b1ca889658605b065dd76292d903648466d567,35,女性,2018-06,Organic,28,6,9,427,155,18
2a0f45689547d3bace9317bd5533caf2d2478c411e4e1a3a097c84a817a4e25e,50,女性,2018-06,Organic,13,4,3,240,4,14
4a00f28a338dbf666d9a76317844dde0c2ef050b4da413b817bdd2adbe263c62,41,女性,2018-06,AudienceNetwork,26,6,205,406,35,7
cf7e1dc8d388763a005819a0a8b4056d6ac59358360c9eb13a63e6277811c5cd,37,女性,2018-07,mobvista_int,25,6,302,380,51,14
3b939266fc6c39ce13c2918d99eaadaf43d7dfed080bb95b2af87e33ed3991a5,34,女性,2018-07,nend_int,26,6,317,388,12,14
ef41d7ce9a2dccdd791a5e046263421b861287a63ec3f81891ee5add6826b8d6,39,女性,2018-07,Organic,19,4,213,275,23,14
c010c956071ed8cd019fa520a9820ca38003bd0c13b74b83ebcd3895d96bea8a,52,女性,2018-07,Organic,11,3,2,372,0,1
b7be054d2f43bb15dfdfb9a307c1f5c9e21181ef40675c72625fcceeb297c76c,27,女性,2018-08,applovin_int,5,1,2,249,0,16
08c0ffcfcd09929677440d8e9c245bff76e41ec8265226d78702c307d5e2e13a,33,女性,2018-08,gunosy_int,17,4,8,372,100,10
13c7e0ca3aeb637f3b251c3309d7e0f2e59081b556b355c1ea4ac6c8ebf694f5,43,女性,2018-08,Instagram,22,5,95,354,5,4
955e7bff5c32928f7444a98408f3334441fbbf9e1d7b7c44c2e2cd9a40a7d3ca,58,男性,2018-08,nend_int,26,6,67,350,0,0
7c1be9e377c617eacc103ee685b3f0bd313e39ffe047cc2eac3e8a6282518cac,56,女性,2018-08,Organic,21,5,86,348,128,1
741225154cc616c321c0e82e664acf9d6e62872af47602c27223bbdf6b5f5c2f,31,女性,2018-08,imcplanning_int,13,4,120,356,2,3
9fae182aad5bab5d46080b54d678d2f75ac151d4c39ac882e644d813a8392280,36,女性,2018-08,Organic,23,5,19,347,0,14
f0b7ac3d020b3257bd2d4f550788e89719a5b3c2060f2255152420f8861e394a,47,男性,2018-09,zucksaffiliate_int,27,6,274,334,122,0
ee9070db644e93d06ae46d77a3a0696b10b3c3aecc5d2eaeadf10cbc2329e008,61,女性,2018-09,tokucha,27,6,101,314,24,0
5ab296f0ead9a30243caef4bded25b545e2e4d1acae6aa4575d0b0ea0db8d171,48,男性,2018-09,Organic,25,6,20,165,1,0
49c359133f70d6da102851ccaf9bb26f3866617a11e5a43dc8e02810871c2420,42,女性,2018-09,tokucha,27,6,302,331,300,15
0abc412a50fc39e205cdf2d7c90512a5171430ad8afc9cfacca447e30216aee8,61,男性,2018-09,tokucha,26,6,314,313,24,0
85336e264a6c8c1e0985b4679b8fd63e53d6e46127dcf86d8dd70190b477f3f2,43,女性,2018-09,Organic,27,6,115,329,4,13
aa70b4637d731f4f3506d24b8c3dcf5a0c6f7a9f6bd7a7359124c245e378d3a7,42,男性,2018-09,tokucha,21,5,168,297,16,0
1e72d1e82106a9975c1f85681a122fe76237d7f9a16849e0b7fa7c867f3ebea7,46,男性,2018-09,tokucha,27,6,318,324,1341,0
b5811dbb8e0938a5aeb0218f7554aafe15fe93726bb739700df81a4efa70cfae,58,女性,2018-10,tokucha,28,6,324,314,1067,0
043d76252a6d43511833ec86d18fb9137ced20b48bb23c3b44350dca75d8f124,50,男性,2018-10,Organic,25,6,261,217,108,0
6e22836167c07c9bb6fd62d133087e7710e7d78a0b26aa8109341e650c6f2c06,52,男性,2018-10,tokucha,25,6,198,296,261,0
161d85cb7fc8e5fdb80a54e67430a1a2853f028667c0965378b8958f4d9d5a31,44,女性,2018-10,tokucha,24,5,247,299,394,10
49b98ce827081a57211ccb037597d204b64ff668932e3e9b1c89958982e77e78,48,男性,2018-10,tokucha,17,4,95,294,216,0
fd1bc3b3f108a58f2a9b629954e8063f649e548ea9a982a3b9e1222962dbcdd7,48,女性,2018-10,Instagram,26,6,268,292,842,12
96a614ed6e6ff0887d390ed826d2a011c7b8a2eb137643c2ccc8a342fda70e28,56,女性,2018-10,tokucha,26,6,239,289,229,1
7ba96385106c9d593a07f304ef96ddc4222698edd20018de45e7689f74a866cb,49,女性,2018-11,tokucha,23,5,2,206,0,0
590949a169672f50c3c5a3e6f3677907baa0bced9918c22c4e2d89d9c65b38ea,17,女性,2018-11,Organic,19,4,58,269,26,10
09802e005bd9d21e60809d79983c0fe45df22f2928de994c146c183576131ad6,47,女性,2018-11,googleadwords_int,20,5,61,275,24,11
8042b9eb9efc9bfbde757e001c62b0ba441c7dd35076b1e4cb6851064dfec344,26,女性,2017-03,Organic,14,4,56,396,133,2
1addfa33ea1a13f5a09e71d4a2ccb5c434586fb7cf35e3b757f7748dacf88f52,54,男性,2017-06,招待リンク,29,6,558,881,3,0
20a14f2099d1ae50497ee6de54cdabcfc386768f8dd190451a07288bcaea6b82,52,女性,2017-06,Organic,9,3,5,86,0,1
a36133f01a402165a1e6a818808f67d304ea7eeb4e8d4448fd1f7f5157319791,57,女性,2017-06,FacebookAds,28,6,2,602,0,0
4048b1e08a1bfebcbe5f4dbd8a9a103d5a5fb27885d6e2d56f464d1be21a6eb8,35,女性,2017-06,FacebookAds,14,4,82,72,26,4
34db9cf534fff0e604806682ac7e0b03e5e7e7b42f399d687a7cfc79dd4179de,39,女性,2017-08,FacebookAds,13,4,230,79,63,13
d3a7499a0b5fed00397a329510c86280ca75e23290d27ab6989d7e3fca415d87,36,女性,2017-10,Organic,16,5,46,114,68,12
b619db1b1fe1b04ad6874b718df0a7253c0de1738143cb19f7e0ec6fe5ea4262,38,女性,2017-12,APP_website,4,2,12,58,68,3
f625401bf22fb4751b8477795c2b0410e5827177a846895b6986f24e444c6ba9,47,女性,2017-12,smartc_int,25,6,408,566,0,21
5fa5fe7d2e588c77d9698b4e4a28411568bb3a220b2ceb060567c70bf3159f27,28,女性,2018-01,Organic,11,3,17,7,0,5
f1bd505f3dc3f982d8f93af8c8550645e46b4c203ad698e84f4f8fff576152a4,,男性,,Organic,15,5,0,28,0,0
f715b901356918c99e6a7a991b423e51004868c53c4e311571fe2e85b33a4d0c,51,女性,2018-03,kurashiru,25,6,9,502,4,6
60b90be5280d6580d7c4b39a4af2b529ef45ac1912d66ef9b9c85d3a8490771f,35,女性,2018-03,Organic,27,6,603,404,486,18
bd116ef61d7e4b4e2e9e8bfddece333c974433d9d4830ac26444bde93fc8d589,48,女性,2018-04,mtburn_int,28,6,608,764,187,9
17f9e6c7efb1d185bd2b77af0fb4eb0e45e91beb07889dce549140c83240a63b,37,女性,2018-05,FacebookAds,19,5,315,402,531,14
46276970a4316e5cf44098e6b70ec908293e09d6302738450dc5d3b0a45f0dad,34,女性,2018-05,Organic,9,4,3,51,0,6
c1623b025b694f83828de13c55d59cc848f7b46abe094a4d470f7115f6c04a75,22,女性,2018-05,applovin_int,27,6,316,449,427,29
f64b8090b9ac5e14148ccb7996010ef3a1f7d39473716715f1078f7769d1f153,35,女性,2018-06,applovin_int,21,5,108,366,89,1
857cbfb10a8f189c66cd778aee0a725ce8cde8a80c0389b7851ac766005339ff,34,女性,2018-06,Organic,27,6,391,420,466,15
45da2ba75a3922c7b1053ad78a7148acc0098a94f08af33f4a31cdc8412b0c90,51,女性,2018-06,maio_int,24,5,37,420,18,1
bccf159432fd846fc5329841081275e98b054acf6c4bb12589ca38fd0a1f1541,50,男性,2018-07,Organic,25,6,7,382,15,0
e347c821e1fa85be49ef20c4d54ef4c2a6799058e94b1167823d06ba5371ca3e,46,女性,2018-07,mobvista_int,8,2,2,213,0,8
1b524d0981c09fe9aaa7b3569036595bc3033e1a7cd7ec8b7a1601483b512da7,49,男性,2018-07,imcplanning_int,25,6,172,390,12,0
e6717c83548b5e84967b21b4ad32d1469f5e2f5bdca22732ec9453292a62713c,37,女性,2018-07,Organic,17,5,263,388,11,11
85d8d1d919dd5ebf368193342b3b87423b709a819603e68d0e2da18e1fafee9f,63,男性,2018-08,maio_int,28,6,398,374,1351,0
b0600b5811081d9640775c94d3682655cad55d55967d757a9823fdc2d919df64,31,女性,2018-08,Organic,16,4,6,337,7,1
16f1c339e160e2257e759e3f46c42916ec6a6272ab7c93c99666490d394dbad5,52,女性,2018-08,Organic,12,3,3,192,0,4
ab9203a0174a14b8abb55bd37253cf444eba657d873fe1daf00906943a43576b,33,女性,2018-08,five_int,27,6,6,357,2,16
f777f1bf8dcfe70e63aeab062efbd5b5bffa95673a55691b0270c7a4e28bd08f,77,女性,2018-09,tokucha,23,5,227,325,216,1
5255fa2d2d54280d6e9cedd56b2785d0d01ea1a693546079d6735952907bfca7,33,女性,2018-09,googleadwords_int,6,4,5,10,8,1
836e21834842f507ffaf83212764adc4e2b396ec223338029f3225fc8dd1dc58,36,男性,2018-09,tokucha,16,4,47,241,61,0
2f96a9a6f4f62f4da6af1f59f64c89550ef342d62db0acaaab8bd1c830b73398,34,女性,2018-09,Organic,27,6,337,334,75,15
6c28488f6d238b7eb44f1164ec816bcf73092ae559034c741c15457a662e6c51,52,女性,2018-09,tokucha,16,4,29,222,25,1
d57b1a9bcaefb85f0175d26aa8a1ebe04d45878e8d0cd05cba298c87b10a5790,37,女性,2018-09,Organic,24,6,281,327,357,19
b3a50ed73502797b000eca8abe17806d211ebe1d8780580ca09e8eed7916221b,51,男性,2018-09,tokucha,22,5,118,286,21,0
07a6081cffa9315b92257d431120e1b4fc739e07ac1fca755d29a330607b20a5,41,女性,2018-09,Organic,8,2,31,297,60,6
94770423edd396b49f95ea8fd98c75f6d0bd894d320c385a991424b8671d5da9,52,男性,2018-09,FacebookAds,22,5,63,215,15,0
2f69db87d92dbee4134314021dc85d2fe6e6037840653419ac11ff3c2abe4122,53,男性,2018-10,Organic,18,4,1,295,80,0
432590680ab91c954a18c2ccca7421e012ded5f926633a7c9b69e851d23b8a7b,26,男性,2018-10,tokucha,21,5,61,291,57,0
f3817faedf25a6ee68007488624f8d105cb36a8a67214df19748be46f0fa555b,49,男性,2018-10,Organic,27,6,112,301,66,0
7c7a33627bab4f329665feb0d687d5f520ecf5cc6e271223be0cc535ad359d5e,46,女性,2018-11,Organic,22,5,63,263,55,6
e762fb326e2ef2acac1d1252b8ef6648d7ae167f376c7425501c6f23e263b8e8,52,女性,2018-10,tokucha,26,6,1,292,123,13
6350ccc12a07c51e19bd67369ec3a1a2baf9703fa40aac03c323b4ba221722b7,36,,2018-10,afio_int,4,1,55,61,61,1
e51d03b6ccad436a4bd20f1188a674cd65ad8c6f5c8201487ff7080f5503bd4c,47,男性,2018-10,tokucha,26,6,310,287,165,0
2a6c5e7d3746bb5dedd92352260ac8539d89aa6b57f249dab2f2c6abdd351029,61,女性,2018-10,tokucha,17,4,29,256,0,0
5a2c4e99d2e296c044c9b9af9bd57bcf64017578f82fae3887fc2b57513aef32,52,男性,2018-11,maio_int,28,6,227,285,1365,0
1ab3edb6c832f8aaf7d8f84d2487bf937f6e4a7b9b42efd28a176cae07955286,30,女性,2018-11,googleadwords_int,25,6,127,266,120,12
9c5d12d115d190f88370515b7fa22b7387c1f96e3df618ab2eeb0659aa336c03,34,男性,2018-12,maio_int,27,6,265,244,247,0
51806815de0bdbe4e58bd2e59af279f8a7025eaacb6ced8f069df99a81c48939,26,女性,2018-12,afio_int,15,4,59,214,62,4
e5ccbc923bdbf16ab4da742b6ff0a990a45e844e4760da5a3a90745473433ba9,56,女性,2018-12,FiNC_Project,9,2,6,88,6,0
755e02f43be197c189454c13d529ad5e77c1ac6749a90cf54d6d6fd8c254c432,29,女性,2017-03,Twitter,17,5,246,384,254,9
3192f5c756349fc227cb5fd443d23012adfcd025cb4267f31a786ce1d7fa5daa,29,女性,2017-05,FacebookAds,24,6,209,557,283,7
6f6a002371b27a5a44f5f613d875ff2b1f51da67b1d8b52cc7b1776860fd23c4,31,女性,2017-06,FacebookAds,14,3,99,326,85,12
e1f332c1b0cb9d26d35a121aac72d33908bc6c0c6b807ce84b44052ad0908462,39,女性,2017-06,招待リンク,10,3,12,350,0,1
b68e4f3ffcd52f428a053e518e86347e6dc124060b7f33322f1ba6e1548fa4ee,63,女性,2017-06,FacebookAds,26,6,724,613,31,0
6c7d2721e2a39df1a2d163496d17afb2312fb2fa478b60660697a7cae7979590,37,女性,2017-08,Instagram,28,6,480,435,1242,21
dfba973f87b8f9f4bd5b3ad4041bdf783561fcac5c469795359e2db3835ec825,48,,2017-09,Twitter,14,3,139,18,35,26
95dc502bbc89d0f68c934b113b9ecccdc136b0905539c6aa41760afcc2ca640a,48,女性,2017-10,Organic,14,4,3,412,23,1
dab4b9a1ff5c2553ced3a35220e1c799c17aec34ac9a80cea71ae65a6433c8df,45,男性,2017-11,APP_website,18,4,4,476,19,0
346f5f1c5f99d1a49a6dcef62ac57b37aaa700808d5c8680236c7e38af15d985,49,女性,2017-11,fukurou_int,26,6,323,586,343,0
339bec836aefa7e43ed3e665cd6b5a634c143597737cef5692e32f12813b5030,55,男性,2018-03,Organic,17,4,157,336,159,0
54784fe32c2170b96a5327c5814ee774cdf7b8885764051b99c1ed526b9dcec3,21,女性,2018-03,Organic,14,4,63,396,108,7
57930f08a701912e682f09c1fb1226ee1d4e7e1f6d9cc5055cc461cd141da01b,26,女性,2018-03,Organic,24,6,11,469,14,1
5139b3fcfddea87a08f7f28cd8ee307a82a258d35c7ed4ea87c9206206a60278,49,女性,2018-04,Organic,19,5,46,281,22,1
340fbbe1e294ab06df56c90efb91e3180d69aa9a8c07a1ded3c24574819903d8,31,女性,2018-04,dotgames_int,24,6,243,436,261,1
66d17cb7aa30195f2522187743ea632560fc31e2f66093fa6b3c9daefe9ad7cb,54,男性,,Organic,10,3,0,86,128,0
5915e2a2881c9e95ea7966dd4098cd6884e21e124cfff9b567e4e48ef86ad402,47,女性,2018-05,Organic,22,5,179,458,340,17
e43db08f3f49a28003a21ac731742794858643d411bb84e3a9c8c11f53761066,31,女性,2018-05,Organic,26,6,393,451,481,17
7d2c39540cb4f529360759d230e84d12ba6b29fb9744976ebdadaaf8bd1d1487,50,男性,2018-05,Organic,19,5,58,338,92,0
428aee933e90161ea5f274c26ff54813f5a6acaa34eb708719228448120e4be9,44,女性,2018-06,maio_int,26,6,21,423,10,16
3cc0791e410c74950e6ab2b73bcbbbb651807e70074245e50d79c67656fc09b0,58,男性,2018-06,dotgames_int,28,6,743,421,1141,1
f6e9708df7c48bc475acf210311a7ddaa77a60ef479cd842456e20dd334a96bc,30,女性,2018-06,Organic,18,4,68,249,36,1
8d3bee8f1ab756fc2a20b262946ac49046ff607d30f9df88825339d9a866677a,32,女性,2018-07,applovin_int,17,5,109,234,38,1
92d5b4b7bc2510a487c06be9c843da104ddd1dbfa87ee0802519968e45a96336,21,女性,2018-07,cheetahmobile_int,7,2,46,379,30,7
322b2d55281e88c9d56daaf77f5efae1484bd8dcade7ee69a32d8cdefb504368,28,女性,2018-08,Instagram,14,3,49,229,171,8
d4e7a6bb00391fb1e2e3b58f4f74c9fb3a07e32c1f25a66f6b1bdc2519fa62ad,41,女性,2018-08,FacebookAds,25,6,80,353,21,15
9e66b841319a9332c220456b49af6703e1e269c8e3275539f5d2bb3b1243675f,37,女性,2018-08,nend_int,20,5,4,338,13,17
897741834ecac37e29692b93141671fe1ea3280f27936a0f1d30ade53519e050,35,女性,2018-08,Organic,27,6,446,359,879,12
d53df1070f64b3280673b58d6e3a71811208a5552e106d10c42a288c0874b358,28,女性,2018-08,Instagram_Stories,18,4,76,350,27,5
fb9296b526869ec42373486881a31d25d297f09206f2f1f57616ca0869d32673,53,女性,2018-08,Organic,10,2,7,339,9,1
640ff2a5774e1885a6ce664ae50b0a22f6b87a9c4e05030594897d02ba74692c,48,女性,2018-08,Organic,17,4,87,342,2,16
feda3e394904db676e8001ee4c3243f5a5d4957b874d30dd3d32abe89db57810,44,女性,2018-09,招待リンク,27,6,314,334,323,4
1be77c5d3c2b19d0f9e86b21127ec753d157511f637e215a5de5fcddd77aed08,52,女性,2018-09,tokucha,28,6,677,336,1179,1
d62ddd0f32315eebb55460535d048f2f34ab0b21bf4cbef0d1fadd8b1b631c64,34,女性,2018-12,FiNC_Premium,4,2,46,20,47,1
1e57127fb1d1c644dcabc36af6ea47f8750757a510492236f118ce04a6a80dc5,34,女性,2018-09,tokucha,19,4,12,151,86,12
5170914c818b3c6044165616e556587773a3aea5001d42f893d710c9d1fb9aea,37,女性,2018-09,Organic,21,5,143,330,459,8
3e9b657fd528701073c94f2ae4bda6ffbc9cd3e0338151dd3d4ddfbad256c1c2,67,女性,2018-09,tokucha,26,6,9,288,1,0
85dfacb6f64c1cfcf1809748d95ae821b98336583193899236e08b3a9781f1ca,52,女性,2018-10,tokucha,15,3,7,307,14,0
e21605a45f1543cd9496ba96679d3abc95252b3531998c5c8e043617f05f478b,23,女性,2018-10,Organic,24,5,41,296,48,10
b54920885c174f416a5b8f0c9010c16228c44e7a42f17bde45a57a62ca7d28da,48,女性,2018-10,tokucha,27,6,308,293,0,12
ee9b262a1441f7f27d63c73de163106018f64015e97b660446196d5f3e6153a5,51,女性,2018-10,tokucha,13,3,60,296,150,2
647907071220074da6629cb28885c656cef94de96010465128072a760876f600,53,女性,2018-10,tokucha,27,6,448,236,0,0
15722e2ffb157e16740b1f3d6dd29f588b25966eef18a6b6636593a9b67dc3da,26,女性,2018-10,Instagram,16,4,180,192,26,9
adca3a9094a496037874db66109f49ca6dff67aa4038d35df7e3337f7ae88c27,48,女性,2018-10,dotgames_int,24,6,34,299,38,2
10d0314bb0975a29d3912b63ef72ac464ca3e5bbb4695eb9b460c19ace9f2de0,36,女性,2018-10,Organic,22,5,269,250,706,8
cf8d9106cdf0997e1b9d73f156bbc636e4481cd57544a86313044695e5ef3f5d,45,男性,2018-10,Instagram,18,5,38,243,104,0
e142107684d7ce9a14e8ea8af29e8b768a6137b9ae27b6f062f83db73b9d5a55,32,女性,2018-10,googleadwords_int,18,4,196,283,123,5
7f2ea513c806815261a3083313185836f790de41dca6c4766c780f66d5a41781,50,女性,2018-11,applovin_int,25,6,80,283,956,12
f349596354ba7b581c3df5316055521182c7ddd13542cc9724978da0e53cd9ad,29,女性,2018-11,Organic,12,3,114,202,89,1
